Dataset,A,B,C,D
anatomy,0.8518518518518519,1.0,0.6666666666666666,0.7027027027027027
astronomy,0.8076923076923077,0.8709677419354839,0.5357142857142857,0.7692307692307693
business_ethics,1.0,0.7857142857142857,0.6153846153846154,0.5
clinical_knowledge,0.7777777777777778,0.9069767441860465,0.6595744680851063,0.6764705882352942
college_biology,0.7857142857142857,0.8333333333333334,0.65,0.7954545454545454
college_chemistry,0.6153846153846154,0.7894736842105263,0.8461538461538461,0.8
college_computer_science,0.5,0.7222222222222222,0.6470588235294118,0.8285714285714286
college_mathematics,0.46153846153846156,0.8823529411764706,0.7272727272727273,0.8717948717948718
college_physics,0.9444444444444444,0.5,0.6842105263157895,0.56
computer_security,0.8666666666666667,1.0,0.6666666666666666,0.7096774193548387
econometrics,0.8,0.6470588235294118,0.5333333333333333,0.825
electrical_engineering,0.9090909090909091,0.8518518518518519,0.6666666666666666,0.5806451612903226
elementary_mathematics,0.8448275862068966,0.5625,0.4666666666666667,0.7101449275362319
formal_logic,0.851063829787234,0.4375,0.65,0.3333333333333333
global_facts,0.9333333333333333,0.3076923076923077,0.5357142857142857,0.3333333333333333
high_school_biology,0.7971014492753623,0.9074074074074074,0.7254901960784313,0.6891891891891891
high_school_chemistry,0.78125,0.8857142857142857,0.8,0.7580645161290323
high_school_computer_science,0.9285714285714286,0.7333333333333333,0.5789473684210527,0.84375
high_school_european_history,0.696969696969697,0.8888888888888888,0.8787878787878788,0.6666666666666666
high_school_geography,0.6666666666666666,0.8333333333333334,0.7941176470588235,0.75
high_school_government_and_politics,0.90625,0.8648648648648649,0.5555555555555556,0.7843137254901961
high_school_macroeconomics,0.8260869565217391,0.922077922077922,0.7878787878787878,0.78
high_school_microeconomics,0.6976744186046512,0.8888888888888888,0.6190476190476191,0.7096774193548387
high_school_physics,0.7857142857142857,0.8571428571428571,0.76,0.7894736842105263
high_school_psychology,0.875,0.9210526315789473,0.8061224489795918,0.725
high_school_statistics,0.9032258064516129,0.9069767441860465,0.7317073170731707,0.7704918032786885
high_school_us_history,0.6888888888888889,1.0,0.8717948717948718,0.6486486486486487
high_school_world_history,0.7307692307692307,0.8301886792452831,0.851063829787234,0.575
human_aging,0.8947368421052632,0.7906976744186046,0.6470588235294118,0.6615384615384615
human_sexuality,0.8235294117647058,0.7916666666666666,0.6818181818181818,0.5714285714285714
international_law,0.8695652173913043,0.8461538461538461,0.75,0.6774193548387096
jurisprudence,0.8947368421052632,0.8461538461538461,0.6666666666666666,0.84
logical_fallacies,0.8214285714285714,0.9428571428571428,0.72,0.6818181818181818
machine_learning,0.8695652173913043,0.65,0.3888888888888889,0.6451612903225806
management,0.8947368421052632,0.7647058823529411,0.7037037037037037,0.6666666666666666
marketing,0.8245614035087719,0.9230769230769231,0.7272727272727273,0.5
medical_genetics,0.8947368421052632,0.7222222222222222,0.7142857142857143,0.7272727272727273
miscellaneous,0.86,0.8444444444444444,0.6666666666666666,0.7932692307692307
moral_disputes,0.9047619047619048,0.7068965517241379,0.5161290322580645,0.3026315789473684
moral_scenarios,0.96875,0.9789473684210527,0.9578947368421052,0.7
nutrition,0.8181818181818182,0.8166666666666667,0.6046511627906976,0.7846153846153846
professional_accounting,0.7631578947368421,0.6585365853658537,0.6222222222222222,0.6153846153846154
professional_medicine,0.7037037037037037,0.8636363636363636,0.76,0.4411764705882353
professional_psychology,0.8923076923076924,0.7017543859649122,0.6,0.6376811594202898
public_relations,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333
security_studies,0.9,0.6666666666666666,0.3333333333333333,0.7142857142857143
sociology,0.7142857142857143,0.75,0.5,0.6363636363636364
us_foreign_policy,1.0,1.0,0.3333333333333333,0.7777777777777778
virology,1.0,0.75,0.7,0.7142857142857143
world_religions,1.0,0.5555555555555556,0.4444444444444444,0.5
Mean,0.8358025115183328,0.8271441297772932,0.6990996969983356,0.6804090815185229
